"ID","DATE.OF.INTERVIEW","Upgraded.toilet.recently.","Emptied.the.toilet.before.","What.happens.when.the.toilet.gets.full.","Last.time.emptied","Was.the.fee.you.paid.affordable.","How.often.do.you.empty.your.toilet.","Years to full","Months to full","Perception.of.the.fill.level","Is.emptying.feasible."
"2694",NA,"No","No","Empty and reuse",NA,NA,NA,NA,2,"Almost full","No"
"2695","2017-04-01","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost empty","Yes"
"2696","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"2697","2017-04-01","No","No","Multiple options",NA,NA,NA,8,NA,"Almost empty","Yes"
"2698","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"2699","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"2700","2017-04-01","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost full","Yes"
"2701","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"2702","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"2703","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,2,0,"Almost empty","Yes"
"2704","2017-04-01","No","Yes","Empty and reuse","5","Affordable","Every 1 year Six Months",0,6,"Almost full","Yes"
"2705","2017-04-01","No","No","Multiple options",NA,NA,NA,9,NA,"Half-full","Yes"
"2706","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Full","Yes"
"2707","2017-04-01","Yes","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2708","2017-04-01","No","No","Multiple options",NA,NA,NA,4,NA,"Half-full","Yes"
"2709","2017-04-01","No",NA,"Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"2710","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","No"
"2711",NA,"No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
