"ID","DATE.OF.INTERVIEW","Upgraded.toilet.recently.","Emptied.the.toilet.before.","What.happens.when.the.toilet.gets.full.","Last.time.emptied","Was.the.fee.you.paid.affordable.","How.often.do.you.empty.your.toilet.","Years to full","Months to full","Perception.of.the.fill.level","Is.emptying.feasible."
"6864","2017-10-14","No","No","Empty and reuse",NA,NA,NA,12,NA,NA,NA
"6865","2017-10-14","Yes","No","Bury and dig another one",NA,NA,NA,6,NA,"Almost empty","Yes"
"6866","2017-10-14","No","No","Other (please specify)",NA,NA,NA,NA,6,"Almost full","Yes"
"6867","2017-10-14","Yes","No","Other (please specify)",NA,NA,NA,3,NA,"Half-full","Yes"
"6868","2017-10-14","Yes","No","Bury and dig another one",NA,NA,NA,8,NA,"Almost empty","Yes"
"6869","2017-10-14","Yes","No","Other (please specify)",NA,NA,NA,NA,1,"Almost full","Yes"
"6870","2017-10-14","No","No","Other (please specify)",NA,NA,NA,3,NA,"Half-full","Yes"
"6871","2017-10-14",NA,"No","Other (please specify)",NA,NA,NA,0,0,"Almost empty","Yes"
"6872","2017-10-14","No","Yes","Abandone","5","Too expensive","Monthly",5,NA,"Almost full","Yes"
"6873","2017-10-15","No","No","Abandone",NA,NA,NA,6,NA,"Half-full",NA
"6874","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,0,"Almost empty","Yes"
"6875","2017-10-16","No","No","Other (please specify)",NA,NA,NA,5,0,"Empty","Yes"
"6876","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"6877","2017-10-16","Yes","No","Other (please specify)",NA,NA,NA,1,0,"Half-full","Yes"
"6878","2017-10-14",NA,NA,"Multiple options",NA,NA,NA,NA,NA,"Empty","Yes"
"6879","2017-10-16","No","Other (please specify)","Empty and reuse",NA,NA,NA,2,NA,"Half-full","No"
"6880","2017-10-16","No","No","Multiple options",NA,NA,NA,3,NA,NA,"Yes"
"6881","2017-10-16","No","No","Abandone",NA,NA,NA,2,NA,"Half-full","No"
"6882","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,0,"Half-full","Yes"
"6883","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"6884","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost full","Yes"
"6885","2017-10-16","No","No","Other (please specify)",NA,NA,NA,2,0,"Half-full","Yes"
"6886","2017-10-16","No","Yes","Empty and reuse","5","Affordable","Every Year",NA,3,"Almost full","Yes"
"6887","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,3,"Almost full","Yes"
"6888","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,4,NA,"Almost full","Yes"
"6889","2017-10-16","No","Yes","Empty and reuse","5","Other (please specify)","Every 2 years",2,0,"Almost empty","Yes"
"6890","2017-10-16",NA,"Other (please specify)","Empty and reuse",NA,NA,NA,3,NA,"Half-full","No"
"6891","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,0,"Half-full","Yes"
"6892","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,NA,"Almost empty","Yes"
"6893","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,10,NA,"Half-full","Yes"
"6894","2017-10-16","Yes","No","Empty and reuse",NA,NA,NA,15,NA,"Almost full","Yes"
"6895","2017-10-17","No","No","Other (please specify)",NA,NA,NA,0,6,"Half-full","Yes"
"6896","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,0,"Almost full","No"
"6897","2017-10-16","No","No","Other (please specify)",NA,NA,NA,5,0,"Half-full","No"
"6898","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"6899","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,12,NA,"Half-full","Yes"
"6900","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,5,"Almost full","Yes"
"6901","2017-10-16","Yes","Yes","Abandone","5","Affordable","Every 1 year Six Months",5,NA,"Almost full","Yes"
"6902","2017-10-16","Yes","No","Bury and dig another one",NA,NA,NA,4,0,"Almost empty","Yes"
"6903","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Almost empty","No"
"6904","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost full","Yes"
"6905","2017-10-16","Yes","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"6906","2017-10-16","No","Yes","Abandone","5","Not affordable","Every 2 years",6,0,"Almost empty","Yes"
"6907","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,0,"Almost full","Yes"
"6908","2017-10-16","Yes","No","Empty and reuse",NA,NA,NA,5,0,"Almost empty","Yes"
"6909","2017-10-16","Yes","No","Bury and dig another one",NA,NA,NA,5,NA,NA,"Yes"
"6910","2017-10-16","No","No","Empty and reuse",NA,NA,NA,1,0,"Half-full","Yes"
"6911","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,8,NA,"Half-full","Yes"
"6912","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,4,NA,"Half-full","No"
"6913","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,0,0,"Almost full","Yes"
"6914","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,5,"Half-full","Yes"
"6915","2017-10-16","No","No","Empty and reuse",NA,NA,NA,8,NA,"Almost full","Yes"
"6916","2017-10-23","Yes","Yes","Abandone","5","Very affordable","Every 9 months",NA,3,"Full","Yes"
"6917","2017-10-16","No","No","Other (please specify)",NA,NA,NA,0,0,"Empty","No"
"6918","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","No"
"6919","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,0,"Almost empty","Yes"
"6920","2017-10-16","No","Yes","Empty and reuse","5","Affordable","Every 1 year Six Months",NA,3,"Almost full","Yes"
"6921","2017-10-16","Yes","No","Bury and dig another one",NA,NA,NA,5,0,"Almost empty","Yes"
"6922","2017-10-16","Yes","Yes","Empty and reuse","3","Affordable","Other (please specify)",10,10,"Almost empty","Yes"
"6923","2017-10-14","No","No","Other (please specify)",NA,NA,NA,10,10,"Almost empty","Yes"
"6924","2017-10-16","Yes","No","Empty and reuse",NA,NA,NA,7,10,"Half-full","Yes"
"6925","2017-10-16","No","No","Other (please specify)",NA,NA,NA,7,10,"Half-full","Yes"
"6926","2017-10-14","No","No","Other (please specify)",NA,NA,NA,5,6,"Almost empty","Yes"
"6927","2017-10-14","No","No","Bury and dig another one",NA,NA,NA,0,10,"Full","Yes"
"6928","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"6929","2017-10-16","No","No","Abandone",NA,NA,NA,5,NA,"Almost full","Yes"
"6930","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","No"
"6931","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,9,NA,"Half-full","Yes"
"6932","2017-10-16","No","No","Other (please specify)",NA,NA,NA,1,0,"Almost empty","Yes"
"6933","2017-10-16","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost empty","Yes"
"6934","2017-10-16","Yes","Yes","Empty and reuse","5","Affordable","Every 2 years",7,10,"Almost empty","Yes"
"6935","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"6936","2017-10-16","No","No","Empty and reuse",NA,NA,NA,7,0,"Almost empty","Yes"
"6937","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Almost empty","Yes"
"6938","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"6939","2017-10-16","No","No","Empty and reuse",NA,NA,NA,8,NA,"Half-full","Yes"
"6940","2017-10-16","No","No","Empty and reuse",NA,NA,NA,6,NA,"Half-full","Yes"
"6941","2017-10-16","Yes","No","Other (please specify)",NA,NA,NA,NA,6,"Almost empty","Yes"
"6942","2017-10-16","No","No","Empty and reuse",NA,NA,NA,8,NA,"Almost empty","No"
"6943",NA,"No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"6944","2017-10-16","No","No","Other (please specify)",NA,NA,NA,4,0,"Almost empty","Yes"
"6945","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,1,10,"Almost full","Yes"
"6946","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,4,NA,"Half-full","Yes"
"6947","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,4,0,"Almost empty","Yes"
"6948","2017-10-16","No","No","Abandone",NA,NA,NA,5,NA,"Half-full","Yes"
"6949","2017-10-16","No","Yes","Empty and reuse","5","Affordable","Every Year",1,0,"Almost empty","Yes"
"6950","2017-10-16","No","No","Other (please specify)",NA,NA,NA,10,NA,"Almost empty","Yes"
"6951","2017-10-16",NA,"No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"6952","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost full","Yes"
"6953","2017-10-16","No","Yes","Empty and reuse","5","Very affordable","Every Year",0,1,"Full","Yes"
"6954","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"6955","2017-10-16","No","Other (please specify)","Empty and reuse",NA,NA,NA,0,0,"Almost empty","Yes"
"6956","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"6957","2017-10-16","No","No","Abandone",NA,NA,NA,3,NA,"Almost full","Yes"
"6958","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost full","Yes"
"6959","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,0,"Half-full","Yes"
"6960","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,8,"Almost full","Yes"
"6961","2017-10-16","Yes","Yes","Bury and dig another one","5","Too expensive","Other (please specify)",10,10,"Almost empty","Yes"
"6962","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,3,"Almost full","Yes"
"6963","2017-10-16",NA,"Yes","Empty and reuse",NA,NA,"Other (please specify)",2,NA,"Full","Yes"
"6964","2017-10-16","No","No","Multiple options",NA,NA,NA,8,NA,"Half-full","Yes"
"6965","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,1,0,"Half-full","Yes"
"6966","2017-10-16","Yes","Yes","Abandone","5","Affordable","Every Year",NA,6,"Full","Yes"
"6967","2017-10-16","No","No","Other (please specify)",NA,NA,NA,2,0,"Almost full","Yes"
"6968","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,5,"Half-full","Yes"
"6969","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,3,"Almost full","Yes"
"6970","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"6971","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,NA,"Almost full","No"
"6972","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,0,"Full","Yes"
"6973","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"6974","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,5,10,"Almost empty","Yes"
"6975","2017-10-16","Yes","Yes","Abandone","5","Not affordable","Every 1 year Six Months",1,NA,"Full","Yes"
"6976","2017-10-16","No","Yes","Empty and reuse","5","Affordable","Every 1 year Six Months",NA,4,"Almost full","Yes"
"6977","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,0,"Half-full","Yes"
"6978","2017-10-16","No","No","Empty and reuse",NA,NA,NA,6,NA,"Half-full","No"
"6979","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,6,0,"Half-full","Yes"
"6980","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Almost full","Yes"
"6981","2017-10-16","No","No","Multiple options",NA,NA,NA,2,NA,"Half-full","No"
"6982","2017-10-16","No","No","Abandone",NA,NA,NA,0,NA,"Almost full","Yes"
"6983","2017-10-16","Yes","Yes","Abandone","5","Not affordable","Every 1 year Six Months",1,NA,"Full","Yes"
"6984","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,10,10,"Almost empty","Yes"
"6985","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,0,"Almost empty","Yes"
"6986","2017-10-16","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","No"
"6987","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"6988","2017-10-16","No","No","Empty and reuse",NA,NA,NA,1,10,"Almost full","Yes"
"6989","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,6,NA,"Half-full","Yes"
"6990",NA,"No","No","Empty and reuse",NA,NA,NA,5,0,"Half-full","Yes"
"6991","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","No"
"6992","2017-10-16","No","No","Abandone",NA,NA,NA,0,0,"Almost full","Yes"
"6993","2017-10-16",NA,"No","Bury and dig another one",NA,NA,NA,6,NA,NA,"No"
"6994","2017-10-16","Yes","Yes","Abandone","4","Not affordable","Every 2 years",1,NA,"Half-full","No"
"6995","2017-10-16","Yes","Yes","Bury and dig another one","5","Too expensive","Every Year",0,1,"Almost empty","Yes"
"6996","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Full","No"
"6997","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full",NA
"6998","2017-10-16","No",NA,"Abandone",NA,NA,NA,0,0,"Half-full","Yes"
"6999","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"7000","2017-10-16","No","No","Abandone",NA,NA,NA,2,NA,"Half-full","No"
"7001","2017-10-16","No","Yes","Bury and dig another one","4","Very affordable","Every 1 year Six Months",0,3,"Full","Yes"
"7002","2017-10-16","Yes","Yes","Empty and reuse","Other (please specify)","Not affordable","Other (please specify)",5,3,"Half-full","Yes"
"7003","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Half-full","Yes"
"7004","2017-10-16","No","No","Abandone",NA,NA,NA,NA,6,"Almost full","Yes"
"7005","2017-10-16","No","Yes","Empty and reuse","4","Affordable",NA,6,NA,"Almost full","Yes"
"7006","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,2,0,"Half-full","Yes"
"7007","2017-10-16","No","No","Empty and reuse",NA,NA,NA,7,10,"Half-full","Yes"
"7008","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,6,"Almost full","Yes"
"7009","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,6,NA,"Half-full","Yes"
"7010","2017-10-16","Yes","No","Bury and dig another one",NA,NA,NA,NA,NA,NA,"Yes"
"7011","2017-10-16","No","No","Abandone",NA,NA,NA,1,NA,"Half-full","No"
"7012","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,1,0,"Almost full","Yes"
"7013","2017-10-16","No","Other (please specify)","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"7014","2017-10-16","No","No","Abandone",NA,NA,NA,5,NA,"Half-full","No"
"7015","2017-10-16","No","No","Empty and reuse",NA,NA,NA,6,NA,"Almost full","Yes"
"7016","2017-10-16","No","No","Empty and reuse",NA,NA,NA,10,NA,"Half-full","Yes"
"7017","2017-10-16","No",NA,"Empty and reuse",NA,NA,NA,2,10,"Almost empty","Yes"
"7018","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,0,"Almost empty","Yes"
"7019","2017-10-16","No","No","Abandone",NA,NA,NA,1,NA,"Almost full","No"
"7020","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,0,"Almost empty","Yes"
"7021","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,6,"Full","Yes"
"7022","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,2,0,"Almost full","Yes"
"7023","2017-10-16","No","No","Other (please specify)",NA,NA,NA,5,NA,"Half-full","Yes"
"7024","2017-10-16","No","No","Abandone",NA,NA,NA,3,NA,"Half-full","No"
"7025","2017-10-14","No","No","Bury and dig another one",NA,NA,NA,4,NA,"Half-full","Yes"
"7026","2017-10-16","No","No","Abandone",NA,NA,NA,0,0,"Half-full","Yes"
"7027","2017-10-16","No","Yes","Empty and reuse","4","Too expensive","Every six months",NA,5,"Almost full","Yes"
"7028","2017-10-16","No","No","Empty and reuse",NA,NA,NA,1,0,"Almost full","Yes"
"7029","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Half-full","Yes"
"7030","2017-10-16","No","No","Abandone",NA,NA,NA,9,NA,"Half-full","Yes"
"7031","2017-10-16","No","No","Empty and reuse",NA,NA,NA,10,10,"Almost empty","Yes"
"7032","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,0,"Almost full","Yes"
"7033","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"7034","2017-10-16","Yes","Yes","Bury and dig another one","4","Affordable","Other (please specify)",1,0,"Almost empty","Yes"
"7035","2017-10-16","No",NA,"Empty and reuse",NA,NA,NA,NA,3,"Almost full","Yes"
"7036","2017-10-16","No","No","Abandone",NA,NA,NA,10,NA,"Half-full","No"
"7037","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,4,NA,"Half-full","No"
"7038","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,8,NA,"Half-full","Yes"
"7039","2017-10-16","Yes","No","Empty and reuse",NA,NA,NA,5,6,"Almost empty","Yes"
"7040","2017-10-16","No","Yes","Empty and reuse","3","Affordable","Every 9 months",NA,9,"Almost full","Yes"
"7041","2017-10-16","No","No","Empty and reuse",NA,NA,NA,1,0,"Half-full","Yes"
"7042","2017-10-16","No","No","Abandone",NA,NA,NA,3,NA,"Almost empty","Yes"
"7043","2017-10-16","Yes","No","Empty and reuse",NA,NA,NA,5,NA,"Empty","Yes"
"7044","2017-10-16",NA,"No","Abandone",NA,NA,NA,7,NA,"Full","Yes"
"7045","2017-10-16","No","No","Empty and reuse",NA,NA,NA,7,10,"Almost empty","Yes"
"7046","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"7047","2017-10-16","No","No","Empty and reuse",NA,NA,NA,6,0,"Almost empty","Yes"
"7048","2017-10-16","No","No","Other (please specify)",NA,NA,NA,8,0,"Half-full","No"
"7049","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Almost full","Yes"
"7050","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"7051","2017-10-16","No","No","Abandone",NA,NA,NA,2,NA,"Almost full","No"
"7052","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,6,"Almost full","Yes"
"7053","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"7054","2017-10-16","No","No","Empty and reuse",NA,NA,NA,1,0,"Half-full","Yes"
"7055","2017-10-16","No","No","Abandone",NA,NA,NA,6,NA,"Half-full","No"
"7056","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","No"
"7057","2017-10-16","No","Yes","Bury and dig another one","4","Affordable","Every 9 months",NA,5,"Half-full","Yes"
"7058","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,10,"Half-full","Yes"
"7059","2017-10-16","No","Yes","Bury and dig another one","5","Affordable","Every 1 year Six Months",NA,1,"Full","Yes"
"7060","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,0,3,"Almost full","No"
"7061","2017-10-16",NA,"No","Empty and reuse",NA,NA,NA,0,3,"Almost full","Yes"
"7062","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,NA,NA,"Yes"
"7063","2017-10-16","Yes","No","Bury and dig another one",NA,NA,NA,7,NA,"Almost empty","Yes"
"7064","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,6,"Almost full","Yes"
"7065","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"7066","2017-10-16","No","No","Empty and reuse",NA,NA,NA,0,0,NA,NA
"7067","2017-10-16","No","Yes","Empty and reuse","2","Affordable","Other (please specify)",5,NA,"Half-full","Yes"
"7068","2017-10-16","No","No","Other (please specify)",NA,NA,NA,5,NA,"Half-full","Yes"
"7069","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,10,NA,NA,"Yes"
"7070","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"7071","2017-10-16","Yes","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"7072","2017-10-17","No","No","Empty and reuse",NA,NA,NA,1,10,"Almost empty","Yes"
"7073","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost full","Yes"
"7074","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"7075","2017-10-17","No","Yes","Empty and reuse","4","Affordable","Every 1 year Six Months",4,NA,"Almost full","Yes"
"7076","2017-10-17","No","No","Other (please specify)",NA,NA,NA,2,0,"Half-full","Yes"
"7077","2017-10-17","No","No","Abandone",NA,NA,NA,6,NA,"Half-full","Yes"
"7078","2017-10-17","No","No","Empty and reuse",NA,NA,NA,3,0,"Almost empty","Yes"
"7079","2017-10-17","No","No","Abandone",NA,NA,NA,NA,8,"Full","Yes"
"7080","2017-10-17","No","No","Empty and reuse",NA,NA,NA,10,10,"Almost empty","Yes"
"7081","2017-10-17","No","No","Empty and reuse",NA,NA,NA,7,NA,"Almost empty","No"
"7082","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Almost full","Yes"
"7083","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,NA,1,"Almost full","Yes"
"7084","2017-10-17","No","No","Abandone",NA,NA,NA,1,NA,"Almost full","Yes"
"7085","2017-10-17","No","No","Abandone",NA,NA,NA,1,NA,"Full","No"
"7086","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"7087","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,0,"Almost empty","Yes"
"7088","2017-10-17","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost empty","No"
"7089","2017-10-17","No","No","Empty and reuse",NA,NA,NA,3,0,"Half-full","Yes"
"7090","2017-10-17","No","Other (please specify)","Other (please specify)",NA,NA,NA,3,NA,"Almost empty","No"
"7091","2017-10-17",NA,NA,"Multiple options",NA,NA,NA,3,NA,"Half-full","Yes"
"7092","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,10,10,"Almost empty","Yes"
"7093","2017-10-17","No","No","Empty and reuse",NA,NA,NA,3,0,"Half-full","Yes"
"7094","2017-10-17","No","No","Abandone",NA,NA,NA,2,NA,"Almost full","Yes"
"7095","2017-10-17","No","No","Empty and reuse",NA,NA,NA,6,NA,"Half-full","No"
"7096","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,3,0,"Half-full","Yes"
"7097","2017-10-17","No","No","Abandone",NA,NA,NA,3,NA,"Half-full","Yes"
"7098","2017-10-17","Yes","No","Empty and reuse",NA,NA,NA,5,0,"Almost empty","Yes"
"7099","2017-10-17","No","Yes","Empty and reuse","5",NA,NA,NA,1,"Full","Yes"
"7100","2017-10-17","No","No","Empty and reuse",NA,NA,NA,3,10,"Almost full","Yes"
"7101","2017-10-17","No","No","Multiple options",NA,NA,NA,8,NA,"Half-full","Yes"
"7102","2017-10-17","Yes","No","Empty and reuse",NA,NA,NA,1,0,"Half-full","Yes"
"7103","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"7104","2017-10-17","Yes","Yes","Abandone","5","Affordable","Every 1 year Six Months",1,NA,"Half-full","Yes"
"7105","2017-10-17","No","No","Multiple options",NA,NA,NA,8,NA,"Half-full","No"
"7106","2017-10-17","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","No"
"7107","2017-10-17","No","No","Empty and reuse",NA,NA,NA,1,10,"Almost full","Yes"
"7108","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,0,0,"Half-full","Yes"
"7109","2017-10-17","No","Yes","Bury and dig another one","5","Affordable","Every 1 year Six Months",2,NA,"Almost full","Yes"
"7110",NA,"No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"7111","2017-10-17","No","Yes","Empty and reuse","4","Too expensive","Every six months",NA,1,"Almost full","Yes"
"7112","2017-10-17","No","No","Empty and reuse",NA,NA,NA,5,0,"Almost empty","Yes"
"7113","2017-10-17","Yes","No","Multiple options",NA,NA,NA,8,NA,"Almost empty","Yes"
"7114","2017-10-17","No","No","Abandone",NA,NA,NA,8,NA,"Almost full","No"
"7115","2017-10-17","Yes","Yes","Empty and reuse","Other (please specify)","Affordable","Every 2 years",5,0,"Almost empty","Yes"
"7116","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Full","Yes"
"7117","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"7118","2017-10-17","Yes","Yes","Multiple options","5","Affordable","Every 1 year Six Months",2,NA,"Half-full","Yes"
"7119","2017-10-17","No","No","Abandone",NA,NA,NA,0,0,"Almost full","Yes"
"7120","2017-10-17","No","No","Empty and reuse",NA,NA,NA,1,0,"Half-full","Yes"
"7121","2017-10-17","No","Yes","Empty and reuse","4","Very affordable","Every Year",NA,7,"Half-full","Yes"
"7122","2017-10-17","No",NA,"Multiple options",NA,NA,NA,0,0,"Half-full","Yes"
"7123","2017-10-17","No","No","Empty and reuse",NA,NA,NA,7,10,"Almost empty","Yes"
"7124","2017-10-17",NA,"No","Bury and dig another one",NA,NA,NA,NA,2,"Almost full","Yes"
"7125","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,1,0,"Almost empty","Yes"
"7126","2017-10-17","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","No"
"7127","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,2,0,"Half-full","Yes"
"7128","2017-10-17","No","No","Abandone",NA,NA,NA,1,NA,"Full","Yes"
"7129","2017-10-17","Yes","No","Multiple options",NA,NA,NA,10,NA,"Almost full","Yes"
"7130","2017-10-17","No","No","Other (please specify)",NA,NA,NA,5,0,"Half-full","No"
"7131","2017-10-17","No","Yes","Empty and reuse","4","Affordable","Every Year",3,NA,"Almost full","Yes"
"7132","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,0,1,"Almost full","Yes"
"7133","2017-10-17","No","No","Empty and reuse",NA,NA,NA,10,6,"Half-full","Yes"
"7134","2017-10-17","No","No","Multiple options",NA,NA,NA,10,NA,"Almost full","Yes"
"7135","2017-10-17","No","No","Other (please specify)",NA,NA,NA,3,0,"Almost full","Yes"
"7136","2017-10-17","No","No","Abandone",NA,NA,NA,1,NA,"Almost full","Yes"
"7137","2017-10-17","No","No","Other (please specify)",NA,NA,NA,7,10,"Almost empty","Yes"
"7138","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","No"
"7139","2017-10-17","No","No","Empty and reuse",NA,NA,NA,4,0,"Half-full","Yes"
"7140","2017-10-17","No","No","Multiple options",NA,NA,NA,5,NA,"Almost full","Yes"
"7141","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,5,NA,"Yes"
"7142","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,0,8,"Almost full","Yes"
"7143","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"7144","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,0,0,"Half-full","No"
"7145","2017-10-17","No","No","Abandone",NA,NA,NA,2,NA,"Half-full","Yes"
"7146","2017-10-17","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","No"
"7147","2017-10-17","No","No","Empty and reuse",NA,NA,NA,0,1,"Almost full","Yes"
"7148","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,10,10,"Almost empty","Yes"
