"","DATE.OF.INTERVIEW","X1.9..latitude.","X1.9..longitude.","X1.9..altitude.","area.m3","Perception.of.the.fill.level","people.using.toilet","days.to.fill","date.full","Transport"
"7957","2017-11-06",-15.4394783,28.22739,1248.9,4.5,"Half-full",4,4394.53125,"2029-11-17","Vacuum Tanker"
"7958","2017-11-13",-15.4323354097605,28.3203506469727,NA,4.5,"Full",7,502.232142857143,"2019-03-30","Vacuum Tanker"
"7959","2017-11-06",-15.439105,28.228475,1278.9,4.5,"Almost full",13,676.081730769231,"2019-09-13","Vacuum Tanker"
"7960","2017-11-06",-15.4388267,28.2259217,1271.9,12.5,NA,10,4882.8125,"2031-03-20","Vacuum Tanker"
"7961","2017-11-06",-15.4389967,28.2268467,1289.3,4.5,"Almost empty",16,1647.94921875,"2022-05-11","Vacuum Tanker"
"7962","2017-11-06",-15.43873,28.2271483,1269.4,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"7963","2017-11-06",-15.4388883,28.2264317,1273.4,4.5,"Almost empty",7,3766.74107142857,"2028-02-28","Vacuum Tanker"
"7964","2017-11-06",-15.4396683,28.227965,1270,4.5,"Half-full",19,925.164473684211,"2020-05-19","Vacuum Tanker"
"7965","2017-11-06",-15.4392683,28.226585,1271.6,4.5,"Almost empty",7,3766.74107142857,"2028-02-28","Vacuum Tanker"
"7966","2017-11-06",-15.4323354097605,28.3203506469727,NA,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
"7967","2017-11-06",-15.43908,28.22611,1271.4,4.5,"Half-full",19,925.164473684211,"2020-05-19","Vacuum Tanker"
"7968","2017-11-06",-15.4397667,28.2275,1254.2,4.5,"Half-full",9,1953.125,"2023-03-13","Vacuum Tanker"
"7969","2017-11-06",-15.4388467,28.2271483,1269.7,12.5,"Half-full",15,3255.20833333333,"2026-10-05","Vacuum Tanker"
"7970","2017-11-06",-15.4392583,28.2284933,1272.9,4.5,"Half-full",20,878.90625,"2020-04-02","Push Cart"
"7971","2017-11-06",-15.4394183,28.2280033,1272.2,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"7972","2017-11-06",-15.4393017,28.2262283,1281,0,"Half-full",19,0,"2017-11-06","Vacuum Tanker"
"7973","2017-11-06",-15.4323354097605,28.3203506469727,NA,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"7974","2017-11-06",-15.4395983,28.2266433,1278.3,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
