"latitude","longitude","altitude"
-15.4290417,28.2410917,1268
-15.429445,28.2436717,1263.7
-15.4216833,28.242395,1271.2
-15.42169,28.242235,1279.8
-15.429205,28.2411517,1272.2
-15.4216533,28.24247,1278
-15.4293583,28.24099,1275.3
-15.4218883,28.2429383,1278.7
-15.4293967,28.2438967,1256.8
-15.429145,28.241425,1278.5
-15.4216617,28.2432133,1282.2
-15.4218833,28.2435533,1276.8
-15.421625,28.2434217,1288.2
-15.4295283,28.2416883,1284.3
-15.4293017,28.2415883,1287.2
-15.42174,28.24359,1275.8
-15.42947,28.24188,1296.5
-15.4216083,28.24303,1277.2
-15.4293333,28.2419183,1285.3
-15.4219917,28.2436417,1294
-15.4217133,28.243675,1351.5
-15.421845,28.2437667,1297.9
-15.421465,28.24431,1275.8
-15.4214533,28.244075,1282.8
-15.4218783,28.2443,1259.5
-15.4215567,28.2443833,1280.9
-15.4215367,28.2443717,1293.2
-15.4280867,28.244425,1287.5
-15.4218267,28.24464,1267.2
-15.4218417,28.2445767,1275.9
-15.4220267,28.2446817,1319.7
-15.4285117,28.2406933,1245.7
-15.421785,28.24545,1265
-15.4214483,28.2446183,1278.9
-15.4217983,28.2443233,1295.5
-15.4281533,28.2411067,1290
-15.4223633,28.244895,1281.4
-15.42832,28.2406417,1287
-15.4220167,28.2453083,1258.8
-15.4275083,28.240315,1278.8
-15.4275933,28.24048,1283.1
-15.4222533,28.24509,1272.6
-15.4224417,28.2442333,1285
-15.427275,28.24046,1331.9
-15.4223717,28.2444017,1274.7
-15.42227,28.24462,1287.6
-15.4223533,28.2439367,1287.3
-15.4215617,28.244995,1273.1
-15.4278533,28.240595,1274.4
NA,NA,NA
-15.427325,28.241215,1296.7
-15.4221833,28.2440483,1279.6
-15.422135,28.2435417,1266.1
-15.4281583,28.2412833,1296.5
-15.4220967,28.2436967,1273.8
-15.4278617,28.2416033,1280.9
-15.4279567,28.2412967,1276.6
-15.427815,28.2414833,1270.3
-15.42207,28.2427733,1271
-15.4283333,28.241505,1285
-15.422265,28.2435467,1267
-15.4221783,28.2428233,1268.4
-15.429755,28.24474,1279.3
-15.42242,28.24343,1269.9
-15.4284283,28.24136,1278.5
-15.42782,28.2414617,1271.9
-15.4222567,28.24327,1270.5
-15.42212,28.2433083,1275.4
-15.4279,28.241835,1276.4
-15.4221317,28.2431633,1264.5
-15.4289667,28.2451583,1277
-15.42903,28.2448717,1272.8
-15.4225583,28.24328,1278.9
-15.4287017,28.245345,1293.2
-15.42261,28.2430233,1277.5
-15.4224967,28.2428567,1279.5
-15.4292717,28.2452567,1279.2
-15.4284833,28.2453683,1278.8
-15.42899,28.2417567,1281.7
-15.427895,28.2421667,1281
-15.4223067,28.2425667,1282.4
-15.4225883,28.2424967,1266.6
-15.4225,28.2426317,1279.3
-15.4224717,28.24234,1284.3
-15.4283117,28.245735,1280.4
-15.4223433,28.2423483,1277.1
-15.4224983,28.2421933,1281.4
-15.4280167,28.2420583,1277
-15.4222667,28.2422333,1280.2
-15.4224483,28.2420983,1279.6
-15.4222917,28.24156,1318.9
-15.42819,28.245685,1273.9
-15.42212,28.24171,1281.8
-15.42241,28.2418333,1287.8
-15.42913,28.2420267,1283.2
-15.4281317,28.2422467,1297.7
-15.4284083,28.2458033,1283
-15.4286917,28.2461283,1281.8
-15.4226067,28.2417433,1279.4
-15.42931,28.2421117,1271.6
-15.4226633,28.2423517,1306.2
-15.4226367,28.24255,1288.1
-15.422695,28.2429067,1296
-15.4226367,28.24267,1267.1
-15.422725,28.2418033,1266.6
-15.4281117,28.2423517,1284.1
-15.4226417,28.2431233,1279.1
NA,NA,NA
-15.4282983,28.246065,1286.9
-15.422795,28.2425617,1273.9
-15.4228267,28.2421133,1290.8
-15.4227967,28.242005,1280
-15.4225717,28.242085,1279.8
-15.4284467,28.2461317,1282.4
-15.4227117,28.24157,1282.6
-15.4227517,28.2435967,1303
-15.4290833,28.2472833,1257.2
-15.4226467,28.2441883,1261.7
-15.422795,28.2442567,1319
-15.4226833,28.24468,1283.1
-15.4298533,28.24661,1290.7
-15.422905,28.24493,1276.1
-15.4227733,28.24507,1282.9
-15.422765,28.2452567,1271.5
-15.4300067,28.246425,1281.9
-15.4230383,28.2452967,1273
-15.4293533,28.2422733,1271.9
-15.4229717,28.2451867,1278.9
-15.4289117,28.2425183,1361.5
-15.422995,28.2450683,1291.3
-15.4283667,28.2422917,1256.7
-15.4232,28.2445933,1289.6
-15.4294567,28.2423667,1283.2
-15.4301167,28.2455817,1265.7
-15.4298633,28.2458417,1280.9
-15.4230167,28.2447667,1287.1
NA,NA,NA
-15.4228817,28.2445667,1270.5
-15.4283933,28.24245,1276.2
-15.422945,28.2444783,1272.4
-15.423225,28.24439,1280.2
-15.4291767,28.2425667,1276.7
-15.4288033,28.24313,1270.8
-15.4232233,28.2454267,1280.1
-15.42925,28.2428683,1297.5
-15.4285583,28.242235,1278.6
-15.4233017,28.2450633,1283
-15.4297467,28.2426633,1291.9
-15.4284567,28.24271,1281.1
-15.43073,28.244985,1295.5
-15.4303783,28.2448617,1282.2
-15.429015,28.2433583,1329.6
-15.4283633,28.2426383,1284.1
-15.4308,28.2445667,1265
-15.4307167,28.24474,1288.3
